"year","month","fleet","sex","partition","input_n","u10","u12","u14","u16","u18","u20","u22","u24","u26","u28","u30","u32","u34","u36","u38","u40","u42","u44","u46","u48","u50","u52","u54","u56","u58","u60","u62","u64","u66","u68","u70","u72","u74"
2003,"Enter Month","Enter Fleet",0,0,41,0,0,0,0,0,0,0,0.474902018191868,0.366801314052942,0,0,0,1.7930420839879,1.08800876504972,40.9142558399478,21.6833027881607,21.5484043216788,2.65339468559648,1.50693303178849,1.11187404163233,2.36240309262589,0.805867675400084,0.810327091514117,0.664942827722648,0.810327091514117,0.332471413861324,0.332471413861324,0.740270503413441,0,0,0,0,0
2004,"Enter Month","Enter Fleet",0,0,17,0,0,0,0,0,0,0,0,0,0,6.61973124615522,0,6.01708283121876,0,10.1362604110864,3.96551130647232,0,0,12.6296249548988,6.61973124615522,22.9445083096425,0,7.15937357980223,9.58942895496417,14.3187471596045,0,0,0,0,0,0,0,0
2005,"Enter Month","Enter Fleet",0,0,19,0,4.23453250247243,0,0,0,7.31494515299468,0,0,0,0,10.8652898143942,4.95817235889625,0,0,7.31494515299468,13.4769273323087,0,9.17196050926476,15.3042101632029,6.8701528172375,7.67060500449106,4.58598025463238,8.23227893711041,0,0,0,0,0,0,0,0,0,0
2006,"Enter Month","Enter Fleet",0,0,29,0,0,0,0,0,0,3.0888704923929,0,2.50898239065524,6.16534853373071,2.10496927169579,2.5304794288699,2.10496927169579,0,7.27637030306509,4.48866322790072,7.08113510708641,7.12412918351572,11.4919351045689,9.14216627443709,8.43532371905451,2.89517302650591,8.75584734948352,4.88895061077816,2.06317032577592,4.95834335228183,0,0,2.89517302650591,0,0,0,0
2007,"Enter Month","Enter Fleet",0,0,19,0,0,0,0,5.70428869130498,11.40857738261,5.70428869130498,0,0,0,5.53555152840311,0,5.2147958608245,0,5.2147958608245,0,15.6443875824735,0,4.96291419702608,9.24077604726495,14.6256444833299,5.46875815565685,0,0,11.2752215189767,0,0,0,0,0,0,0,0
2008,"Enter Month","Enter Fleet",0,0,31,0,0,0,0,0,0,2.83365103128023,2.83365103128023,0,5.27280216399615,5.05358102620004,5.8887618234463,0,5.31445268050924,0,3.36511586735758,1.94933681315166,13.1507924012418,2.88030410353728,4.76923566355067,9.00491356815562,6.6691536857739,12.9152464524718,5.95699348514549,3.36511586735758,3.36511586735758,0,0,2.81989885039902,2.59187761778791,0,0,0
2009,"Enter Month","Enter Fleet",0,0,14,0,0,0,3.28043578987593,3.28043578987593,2.23772678326229,0,0,0,0,0,0,0,3.28043578987593,0,0,15.2931340924039,16.3358430990176,3.28043578987593,6.69304687320372,6.56087157975186,3.28043578987593,13.9896740934406,8.23400919623472,3.28043578987593,4.82139811290693,0,6.15168143052272,0,0,0,0,0
2010,"Enter Month","Enter Fleet",0,0,34,0,0,0,2.23762451743435,0,4.8813839439016,2.23762451743435,4.52896239700305,1.67482049310722,2.55778013389697,1.67482049310722,6.15265359089832,0,0,1.67482049310722,3.34964098621445,6.75532623917227,5.22395584139436,6.27014882779014,13.0061533740018,9.6129254587788,9.17876543583184,6.64687399398887,0,3.78176532193663,0,1.67482049310722,3.34964098621445,1.8546719685717,1.67482049310722,0,0,0
2011,"Enter Month","Enter Fleet",0,0,24,0,2.75321284116273,2.64399566198363,2.75321284116273,0,0,1.47428232069011,0,4.08570531189219,1.80884681932698,0,2.39432119972523,1.71996101788152,0,1.65223356857503,6.92780395450038,5.50642568232547,6.85755238984672,15.1171909133349,10.9246234649471,11.9578752882283,10.6253828174989,5.50642568232547,2.64695256260893,2.64399566198363,0,0,0,0,0,0,0,0
2012,"Enter Month","Enter Fleet",0,0,29,0,0,0,2.58356809654486,0,3.66931449618496,0,2.56424430511832,2.58356809654486,5.07141618854041,8.54364881750015,5.11927619081507,7.70284428735993,2.53570809427021,0,0,0,2.65976083451152,1.49983747761458,8.21776987926133,5.9488818964099,8.09886481572146,8.92332284461484,2.97444094820495,5.07141618854041,8.25730446676208,2.90339588693973,2.53570809427021,0,2.53570809427021,0,0,0
2013,"Enter Month","Enter Fleet",0,0,24,0,0,0,0,0,3.61833393335287,3.48062240799018,0,3.48062240799018,3.26567209028809,3.18319763394179,0,10.3890480783214,2.72439028160123,6.66409434319363,5.02140015959124,3.26567209028809,2.22363926641357,3.61833393335287,3.04576040984077,0,3.04576040984077,12.4029533198104,15.7947572304352,2.81923038711271,5.86499079695347,3.04576040984077,0,3.04576040984077,0,0,0,0
2014,"Enter Month","Enter Fleet",0,0,46,0,0,0,0,0,1.00743780737879,2.18569176870067,3.30690650315969,0,2.13806908451148,0.940902990055522,4.45307221338292,2.70570524444135,1.24229208449533,2.24366789406705,3.30690650315969,3.06020378395971,3.05584480054095,3.71570310547534,3.35812531616072,4.63676238715802,11.7387032363015,8.05179552149863,7.48043583830706,13.5950576808935,8.60143276741875,3.34690046650557,3.52013000954538,1.15412649644121,1.15412649644121,0,0,0
2015,"Enter Month","Enter Fleet",0,0,26,0,0,0,2.44948180354365,0,2.24875218902048,5.0394655393285,0,4.06501690003252,6.75131404770807,2.27041435046956,0,4.70195681217066,4.54082870093911,0,4.59144104717818,6.77633198912548,6.17782877398811,0,2.05643583511227,1.87264074985536,12.0959297549849,5.9940336887312,1.87264074985536,13.3870018189691,9.3632037492768,0,3.74528149971072,0,0,0,0,0
2016,"Enter Month","Enter Fleet",0,0,48,0,0,1.31492778887537,1.15476526856279,1.60136048386451,3.80471621253751,10.5324582535626,4.46758528953411,5.59906637018133,7.38066809950668,6.9877120963695,5.74095371030679,3.78229235823819,1.4727618211126,1.50520265336522,10.1920949986204,4.33339999133034,6.80309304876851,4.10957830413646,4.59609120763325,2.79773391013028,2.7251144634916,1.70750900953589,3.13920561947347,2.8622354309876,0,0,1.389473609875,0,0,0,0,0
2017,"Enter Month","Enter Fleet",0,0,38,0,0,2.16631046759943,0,2.48658996541299,4.82826629470594,2.46863430743759,0,7.96792809009189,2.50727129585394,2.64756133665949,9.73870777200708,2.76014680810524,6.42750950369334,5.29512267331898,4.72973250801764,9.76641234136688,12.2879492663084,6.94057571898866,2.75910406583347,4.75806939755597,1.71114285994266,0,0,2.75910406583347,0,2.48658996541299,2.50727129585394,0,0,0,0,0
2018,"Enter Month","Enter Fleet",0,0,43,0,2.01727693282531,5.0098503695568,0,4.85946770114797,13.0764916127006,4.12807672261644,8.20939201674997,1.74557324280302,2.06403836130822,4.08567737273068,7.34993016705312,6.44901926101001,2.02085376554635,0,7.41407528242665,3.71522375234809,8.59351669308369,2.14019535659756,0,0,2.14019535659756,2.88893064563489,4.0417075310927,3.01482704531202,2.02085376554635,3.01482704531202,0,0,0,0,0,0
2019,"Enter Month","Enter Fleet",0,0,21,0,0,0,0,0,3.2942069699693,5.45034912164579,0,4.78068132061073,0,0,0,5.90416084525652,3.64642629482776,6.51668518943632,5.58303689982739,6.22651652186499,13.5193691115205,15.0331232707672,5.03638195285825,6.22651652186499,2.58009022703723,2.58009022703723,0,5.58303689982739,5.58303689982739,0,0,2.45629172582103,0,0,0,0
2021,"Enter Month","Enter Fleet",0,0,38,0,0,0,0,1.64336098471873,3.90739552316768,7.85849514838888,10.6197469355842,6.46546127427057,8.52841261093946,3.81392894348962,2.06295133666889,10.3429862581202,6.45520566653606,8.78230729621531,5.76729232594804,6.367947925412,3.89182991581874,4.11159774136868,1.82887857914985,0,4.11159774136868,3.44060379283437,0,0,0,0,0,0,0,0,0,0
2022,"Enter Month","Enter Fleet",0,0,36,0,0,0,0,2.56861774954963,1.28793449172129,1.89833829900213,1.53326464752599,9.76722725863083,4.45705698715471,1.57268811268794,1.26719425870103,7.61864432329464,7.00048469495635,1.43932827019411,1.59966193233835,5.40082276261801,14.6039158040933,4.66050502785951,3.47475854844744,9.43230765113911,9.66353027299619,5.98191628380988,1.5506258656142,0,3.2211767576654,0,0,0,0,0,0,0
2023,"Enter Month","Enter Fleet",0,0,24,0,0,0,0,0,0,3.01061841055052,0,0,5.91445585141219,3.39371293748579,0,9.37027801151107,3.11992264467417,5.25613112984508,6.61616288281872,6.23984528934834,10.8967966884457,9.35976793402251,3.49624023814455,7.43005983393885,2.27633928757944,0,17.3798235708748,3.11992264467417,3.11992264467417,0,0,0,0,0,0,0
2024,"Enter Month","Enter Fleet",0,0,46,0,0,0,0,3.22815103194306,1.61407551597153,4.92111527723397,0,1.61407551597153,2.55283594241762,2.33563546423976,6.07075693836607,6.90834217285855,0,6.09884445580636,10.6293695267377,4.10666103069265,8.36494600892233,11.5252376656238,8.53535262849251,0,2.33563546423976,4.67259458724344,7.56767435489269,2.89640342641316,2.03441546156693,1.98787753036654,0,0,0,0,0,0
